% White,% Black/African American,%65+ Below poverty,Residuals
0.0,0.0,0.0,39626.10489545116
0.7,25.3,43.8,-8169.024272452137
0.8,29.6,36.8,-7489.732788646447
0.9,89.8,6.5,-11092.567953973617
1.0,37.3,42.1,-2942.5339253258117
1.0,68.5,7.5,-2779.5530966906717
1.0,72.9,32.8,8003.931166861644
1.0,89.6,10.2,-6941.855978635982
1.1,3.2,19.9,-6635.022555012477
1.1,27.8,45.3,1406.5885366683888
1.2,38.2,31.8,-1084.5746896950861
1.2,89.7,5.8,-8315.365226708987
1.3,26.4,36.6,3179.9197074272493
1.3,88.1,9.9,422.3739013346143
1.4,28.3,37.0,2378.2716127936687
1.4,62.1,17.6,-2724.0284010463033
1.4,88.1,13.6,4328.68550896917
1.6,31.2,30.8,4861.520278304056
1.7,25.7,42.8,-8246.938074527587
1.7,26.5,45.1,-3498.031725362002
1.7,30.4,40.1,2000.9008111002609
1.7,72.3,25.5,-5040.180838683007
1.9,28.0,46.6,10007.502928157666
1.9,64.8,25.3,28497.478433722794
2.0,22.1,38.2,3205.9384899123793
2.0,40.3,15.7,-5211.396418861707
2.1,87.9,11.5,916.9665870395614
2.4,63.8,7.3,-11394.545294952104
2.4,68.3,16.9,4604.666625431307
2.5,32.1,40.6,-2503.709523613787
2.7,26.6,21.3,-5468.100487611803
2.7,34.1,19.9,3606.5390210510627
3.0,21.5,25.8,-4948.114666402205
3.0,87.1,7.3,-8038.692308356346
3.1,66.0,11.7,-4065.2234522275094
3.2,25.2,21.5,-3682.6120756592704
3.3,15.7,18.1,14529.07134993939
3.4,81.1,7.9,-7607.660594007184
3.5,15.6,34.9,-5315.709149169106
4.2,15.6,30.0,3229.688534607639
4.3,17.7,18.2,-6008.075263241579
4.7,83.7,11.7,14700.562430517164
5.2,21.0,12.2,11380.391214214738
5.3,21.6,17.3,-7284.007851562865
5.6,47.7,9.4,-4049.9671939053987
5.7,70.8,28.3,547.3535953813564
6.0,1.7,18.7,12229.254733744607
6.4,81.4,18.4,-4831.206025660951
6.5,13.0,24.4,-4880.034273278614
6.6,59.2,15.2,-517.5680416704221
7.6,56.3,32.9,-17891.590103185736
7.7,3.8,31.4,3757.344153534496
7.8,37.5,39.5,14487.24143481498
8.0,16.1,23.6,-2067.8842988141314
9.7,13.5,29.9,2593.814456090893
10.1,58.7,26.3,18311.649235324443
10.5,7.9,13.9,2578.46238094121
11.1,29.2,35.2,-7282.752291213173
12.3,1.4,17.7,-10989.644823104267
12.7,64.0,20.9,17855.20890028332
12.9,0.8,9.0,-7457.229857197158
13.9,10.2,30.0,17105.309083887372
13.9,26.1,23.2,-5591.541250777653
14.6,1.4,32.3,-7066.373212458417
15.0,1.1,23.7,-12413.795075041739
15.1,58.5,9.6,-1804.322493746422
15.5,3.1,10.1,-2905.824278516789
15.5,25.0,36.2,11759.111572701839
15.7,11.6,15.4,-5772.651123667996
16.0,67.7,7.1,3604.855193653814
16.1,47.1,15.0,-10446.665491382666
16.6,2.6,17.2,16865.77572613453
16.8,7.4,24.8,-4423.471357821928
16.8,64.8,27.4,40977.490003384366
17.0,68.4,21.3,15065.06786969017
17.9,3.3,26.3,2734.731117625217
18.2,16.3,28.9,-4494.515520286223
18.2,25.8,26.1,3156.619609741329
18.3,5.3,38.8,-1281.5746546997257
18.8,24.9,39.8,31301.51371247851
18.8,51.7,73.0,-14953.285792961164
19.1,10.0,31.4,17411.545926793868
19.2,58.8,42.8,-11881.033997798211
19.7,23.4,28.4,13543.622421479238
21.0,31.0,11.7,-6800.2107729980935
21.5,5.3,9.9,-9643.633855846216
21.6,28.5,21.6,-9863.70497373806
22.3,24.7,9.8,-9567.806795190581
22.6,0.8,14.9,1364.1230734292717
23.3,11.4,34.0,28939.19687396451
23.7,1.7,20.3,-7919.717633213499
24.0,44.0,23.1,17332.57134460257
24.3,11.8,14.2,1049.9047100954353
24.3,31.4,20.1,-13422.28234767011
25.5,7.9,10.3,-11849.235432903733
25.6,2.0,14.1,-10368.855796026284
26.8,4.3,22.6,6041.110736634006
27.0,42.3,22.3,-8116.119520928339
27.4,32.2,22.8,-12622.078434110115
29.6,5.8,11.2,-12715.432782732873
30.3,11.4,14.2,-6441.470751747716
30.7,13.9,13.1,-3330.546637941306
31.2,36.5,22.0,10764.677550327737
31.7,29.2,42.8,-5815.813176193873
32.8,1.1,9.9,-12762.101458905043
32.8,57.2,12.2,-1740.0052855002104
36.3,9.6,14.2,-1681.6228683923873
37.0,16.5,10.1,-12945.226354720913
37.3,20.2,18.3,-10366.685712193077
37.7,2.6,10.3,-12236.122155847454
37.8,36.6,27.3,20050.86691240157
38.5,2.2,10.0,11221.518202756053
38.6,0.9,20.7,-2785.971344626541
39.4,9.8,19.1,-1687.9127864146183
39.7,2.4,8.1,-7551.079067989658
40.2,5.4,8.0,-12084.383008618646
40.5,5.2,15.7,-6364.843225598122
41.2,1.1,18.7,-11966.584610036512
41.2,1.7,10.4,8922.998801736867
42.1,1.0,26.0,-6183.061271095293
43.7,0.9,16.6,-9641.786313746748
44.2,7.5,22.1,-10604.336207007915
44.3,8.4,29.7,15981.179252463447
44.4,13.8,17.0,3745.5655706782563
44.8,33.5,17.8,6629.895754194106
45.7,8.2,9.0,-1571.6972791273922
45.9,5.1,17.5,-7136.899395746126
46.0,1.0,6.7,-13247.54910769655
47.8,5.7,21.9,-8890.893469884719
49.4,4.3,12.2,-11840.661959325016
49.9,2.4,13.8,11211.26370622853
50.3,3.6,16.7,26972.69281827313
50.8,24.6,12.9,-1652.516964232635
51.5,6.6,10.1,-8656.679589883137
52.8,5.5,22.0,18912.201160128952
53.1,1.5,11.7,-4140.661048228472
54.3,3.0,32.5,22139.793086714828
55.5,1.4,10.6,-7422.64695528345
57.2,0.8,9.4,-12991.529734370784
59.3,11.9,23.8,-10260.46653706565
60.7,0.4,7.4,-11036.473058468795
60.7,2.8,14.1,6840.5525905365885
60.8,7.3,9.0,-7452.831211877048
61.5,4.5,15.1,27216.826461949484
61.8,8.9,9.8,-7073.231669033712
62.4,5.3,11.7,26316.73648852416
62.4,6.5,18.7,-5753.459663902831
62.5,4.6,13.6,20018.506063705274
62.7,2.7,19.1,-7563.134754187858
62.8,2.5,9.3,5269.36667938908
62.8,7.2,11.5,-13919.8543149876
64.9,6.7,17.4,37782.1357423342
66.2,2.2,14.4,20895.61656186122
66.2,12.9,6.2,-6244.138412041418
66.5,2.4,17.0,283.97508517700453
66.9,4.5,9.5,20470.401820745377
67.0,4.9,15.1,-13100.597496785897
67.1,0.8,7.9,-8063.4789970356105
67.3,5.9,11.7,5237.400292296165
67.8,1.8,9.8,-10256.096351317357
68.7,3.9,15.6,-10815.172888395618
69.4,4.2,8.4,11699.931613663473
70.0,3.2,5.8,11199.142604716822
70.6,3.9,6.7,21414.92726200961
71.1,3.2,9.3,-12969.703354916623
71.2,0.7,40.7,-8690.530885417336
71.2,2.3,8.8,-10109.67601353218
72.2,4.8,8.7,-7554.438105385717
72.6,5.8,10.6,-1285.2570667384946
72.8,1.9,23.5,-5119.223032952976
73.6,4.6,24.5,-4685.794187050162
73.9,3.5,7.4,-14261.40137919992
74.3,3.0,21.9,23604.116689798404
75.0,2.5,8.7,5500.95397461247
75.1,1.4,5.2,9170.078824260843
75.6,5.8,11.2,-14449.093196534965
76.7,1.0,21.1,6792.279823311536
76.7,2.0,11.2,-15606.662938669835
77.5,1.6,9.7,-14103.565002923588
80.0,2.1,8.4,17103.287446339335
83.3,0.7,4.3,19286.94028363412
83.5,0.9,10.7,-13807.009643143387
83.5,1.2,16.9,-13411.348703556538
85.5,0.9,8.4,-13282.36143399532
85.7,4.4,27.4,-9375.477011614365
86.1,0.1,12.2,-13721.586266749464
86.8,0.9,5.2,-14063.191591874693
